iter	Passed	Remaining
643	39882	22047
644	39959	21993
645	40010	21925
646	40081	21868
647	40137	21802
648	40207	21745
649	40267	21682
650	40324	21617
651	40380	21552
652	40440	21489
653	40507	21430
654	40568	21368
655	40625	21303
656	40679	21237
657	40735	21172
658	40792	21108
659	40848	21043
660	40905	20978
661	40968	20917
662	41030	20855
663	41102	20799
664	41164	20737
665	41253	20688
666	41304	20621
667	41361	20557
668	41424	20495
669	41479	20430
670	41544	20369
671	41612	20311
672	41669	20246
673	41727	20182
674	41800	20126
675	41868	20066
676	41927	20003
677	41991	19943
678	42054	19881
679	42123	19822
680	42190	19763
681	42254	19702
682	42312	19638
683	42389	19583
684	42453	19522
685	42514	19460
686	42569	19394
687	42639	19336
688	42701	19274
689	42765	19213
690	42825	19150
691	42884	19087
692	42939	19022
693	43001	18960
694	43067	18899
695	43124	18835
696	43185	18773
697	43245	18710
698	43310	18650
699	43374	18589
700	43439	18528
701	43528	18477
702	43578	18410
703	43635	18346
704	43694	18283
705	43752	18219
706	43811	18156
707	43868	18092
708	43927	18029
709	43984	17965
710	44047	17904
711	44101	17838
712	44159	17775
713	44224	17714
714	44381	17690
715	44486	17645
716	44551	17584
717	44610	17521
718	44685	17463
719	44738	17398
720	44797	17334
721	44856	17271
722	44924	17211
723	44979	17146
724	45036	17082
725	45091	17018
726	45148	16953
727	45210	16891
728	45269	16828
729	45338	16768
730	45396	16705
731	45456	16642
732	45519	16580
733	45577	16517
734	45636	16453
735	45717	16398
736	45781	16337
737	45835	16272
738	45906	16213
739	45969	16151
740	46030	16088
741	46092	16026
742	46156	15965
743	46220	15903
744	46276	15839
745	46333	15775
746	46388	15711
747	46439	15645
748	46496	15581
749	46558	15519
750	46616	15455
751	46679	15394
752	46738	15331
753	46799	15268
754	46853	15204
755	46912	15140
756	46973	15078
757	47030	15015
758	47092	14953
759	47148	14888
760	47203	14824
761	47262	14761
762	47319	14698
763	47380	14635
764	47440	14573
765	47498	14509
766	47555	14446
767	47616	14384
768	47675	14321
769	47739	14259
770	47800	14197
771	47858	14134
772	47941	14078
773	48001	14015
774	48054	13951
775	48108	13887
776	48165	13823
777	48224	13760
778	48283	13698
779	48346	13636
780	48405	13573
781	48463	13510
782	48520	13446
783	48580	13384
784	48641	13322
785	48700	13259
786	48757	13196
787	48814	13132
788	48876	13070
789	48935	13008
790	48995	12945
791	49053	12882
792	49115	12820
793	49178	12759
794	49236	12696
795	49296	12633
796	49353	12570
797	49428	12512
798	49486	12448
799	49544	12386
800	49603	12323
801	49661	12260
802	49721	12198
803	49781	12135
804	49838	12072
805	49901	12011
806	49962	11948
807	50022	11886
808	50083	11824
809	50149	11763
810	50235	11707
811	50287	11642
812	50351	11581
813	50404	11517
814	50461	11454
815	50515	11390
816	50572	11327
817	50633	11265
818	50691	11202
819	50750	11140
820	50807	11077
821	50864	11014
822	50922	10951
823	50993	10891
824	51055	10830
825	51115	10767
826	51181	10706
827	51238	10643
828	51298	10581
829	51358	10519
830	51420	10457
831	51480	10395
832	51539	10332
833	51599	10270
834	51659	10208
835	51717	10145
836	51777	10083
837	51839	10021
838	51899	9959
839	51959	9897
840	52171	9863
841	52234	9801
842	52294	9739
843	52354	9676
844	52446	9620
845	52504	9557
846	52561	9494
847	52624	9432
848	52685	9370
849	52744	9307
850	52805	9245
851	52867	9183
852	52931	9121
853	52998	9060
854	53063	8999
855	53126	8937
856	53186	8874
857	53247	8812
858	53307	8750
859	53368	8687
860	53430	8625
861	53489	8563
862	53548	8500
863	53608	8438
864	53668	8376
865	53729	8313
866	53787	8251
867	53848	8188
868	53909	8126
869	53970	8064
870	54031	8002
871	54090	7939
872	54151	7877
873	54210	7815
874	54276	7753
875	54334	7691
876	54403	7630
877	54466	7568
878	54524	7505
879	54582	7443
880	54673	7384
881	54773	7328
882	54841	7266
883	54914	7206
884	54976	7143
885	55033	7081
886	55096	7018
887	55152	6956
888	55210	6893
889	55271	6831
890	55338	6769
891	55394	6706
892	55456	6644
893	55514	6582
894	55572	6519
895	55633	6457
896	55698	6395
